date,username,followers,media_count
2026-08-25,the.movie.decoded,18,18
2026-08-25,the.movie.decoded,18,18
2026-08-25,MD,the.movie.decoded,18,18
2026-08-25,DEFNE,defne.me9,29,34
2026-08-25,GP,geniusparkvfx,1209,162
2026-08-25,MD,the.movie.decoded,18,18
2026-08-25,DEFNE,defne.me9,29,34
2026-08-25,GP,geniusparkvfx,1209,162
2026-08-25,MD,the.movie.decoded,18,18
2026-08-25,DEFNE,defne.me9,29,34
2026-08-25,GP,geniusparkvfx,1209,162
2026-08-26,MD,the.movie.decoded,18,18
2026-08-26,DEFNE,defne.me9,29,34
2026-08-26,GP,geniusparkvfx,1209,162
2026-08-27,MD,the.movie.decoded,18,18
2026-08-27,DEFNE,defne.me9,28,34
2026-08-27,GP,geniusparkvfx,1209,162
2026-08-28,MD,the.movie.decoded,18,18
2026-08-28,DEFNE,defne.me9,28,34
2026-08-28,GP,geniusparkvfx,1208,162
2026-08-29,MD,the.movie.decoded,18,18
2026-08-29,DEFNE,defne.me9,28,34
2026-08-29,GP,geniusparkvfx,1208,162
2026-08-30,MD,the.movie.decoded,18,18
2026-08-30,DEFNE,defne.me9,31,35
2026-08-30,GP,geniusparkvfx,1209,162
2026-08-31,MD,the.movie.decoded,18,18
2026-08-31,DEFNE,defne.me9,32,35
2026-08-31,GP,geniusparkvfx,1210,162
