date,username,followers,media_count
2026-08-25,the.movie.decoded,18,18
2026-08-25,the.movie.decoded,18,18
2026-08-25,MD,the.movie.decoded,18,18
2026-08-25,DEFNE,defne.me9,29,34
2026-08-25,GP,geniusparkvfx,1209,162
2026-08-25,MD,the.movie.decoded,18,18
2026-08-25,DEFNE,defne.me9,29,34
2026-08-25,GP,geniusparkvfx,1209,162
2026-08-25,MD,the.movie.decoded,18,18
2026-08-25,DEFNE,defne.me9,29,34
2026-08-25,GP,geniusparkvfx,1209,162
2026-08-26,MD,the.movie.decoded,18,18
2026-08-26,DEFNE,defne.me9,29,34
2026-08-26,GP,geniusparkvfx,1209,162
2026-08-27,MD,the.movie.decoded,18,18
2026-08-27,DEFNE,defne.me9,28,34
2026-08-27,GP,geniusparkvfx,1209,162
2026-08-28,MD,the.movie.decoded,18,18
2026-08-28,DEFNE,defne.me9,28,34
2026-08-28,GP,geniusparkvfx,1208,162
2026-08-29,MD,the.movie.decoded,18,18
2026-08-29,DEFNE,defne.me9,28,34
2026-08-29,GP,geniusparkvfx,1208,162
2026-08-30,MD,the.movie.decoded,18,18
2026-08-30,DEFNE,defne.me9,31,35
2026-08-30,GP,geniusparkvfx,1209,162
2026-08-31,MD,the.movie.decoded,18,18
2026-08-31,DEFNE,defne.me9,32,35
2026-08-31,GP,geniusparkvfx,1210,162
2026-09-01,MD,the.movie.decoded,19,18
2026-09-01,DEFNE,defne.me9,32,36
2026-09-01,GP,geniusparkvfx,1209,162
2026-09-02,MD,the.movie.decoded,19,18
2026-09-02,DEFNE,defne.me9,32,36
2026-09-02,GP,geniusparkvfx,1208,162
2026-09-03,MD,the.movie.decoded,19,18
2026-09-03,DEFNE,defne.me9,33,37
2026-09-03,GP,geniusparkvfx,1207,162
2026-09-04,MD,the.movie.decoded,19,18
2026-09-04,DEFNE,defne.me9,33,37
2026-09-04,GP,geniusparkvfx,1207,162
2026-09-05,MD,the.movie.decoded,21,18
2026-09-05,DEFNE,defne.me9,38,38
2026-09-05,GP,geniusparkvfx,1207,162
2026-09-06,MD,the.movie.decoded,21,18
2026-09-06,DEFNE,defne.me9,39,38
2026-09-06,GP,geniusparkvfx,1207,162
2026-09-07,MD,the.movie.decoded,21,18
2026-09-07,DEFNE,defne.me9,39,41
2026-09-07,GP,geniusparkvfx,1206,162
2026-09-08,MD,the.movie.decoded,20,18
2026-09-08,DEFNE,defne.me9,39,41
2026-09-08,GP,geniusparkvfx,1205,162
2026-09-09,MD,the.movie.decoded,21,18
2026-09-09,DEFNE,defne.me9,41,42
2026-09-09,GP,geniusparkvfx,1205,162
2026-09-10,MD,the.movie.decoded,21,18
2026-09-10,DEFNE,defne.me9,42,42
2026-09-10,GP,geniusparkvfx,1205,162
2026-09-11,MD,the.movie.decoded,21,18
2026-09-11,DEFNE,defne.me9,43,42
2026-09-11,GP,geniusparkvfx,1205,162
2026-09-12,MD,the.movie.decoded,21,18
2026-09-12,DEFNE,defne.me9,43,42
2026-09-12,GP,geniusparkvfx,1205,162
